frame,left_eye_temp,right_eye_temp,forehead_temp,nose_temp,left_cheek_temp,right_cheek_temp
0,37.391007581000004,37.4425578035,36.18102351668284,36.33245191964706,35.15275923842746,35.55140259262668
1,37.396899035000004,37.4602321655,36.19125272818031,36.318416396882355,35.186770595793796,35.33096197419562
2,37.391007581000004,37.435193486,36.180548680334056,36.33765026141177,35.12674445452907,35.35413656892228
3,37.4042633525,37.4484492575,36.18153270551724,36.32413457282353,35.166007565550025,35.370053630730226
4,37.4042633525,37.4425578035,36.18170729063039,36.32222851417647,35.15730746042068,35.32918658021095
5,37.414573397,37.44108494,36.184849822667026,36.35844362847059,35.167784727026316,35.38566914560575
6,37.408681943000005,37.44108494,36.178006547911714,36.37074637064706,35.14479828257294,35.422800071428576
7,37.4101548065,37.4425578035,36.18902399400862,36.365894585,35.146230775809016,35.40929566170807
8,37.4042633525,37.4631778925,36.17843998821732,36.35809707235294,35.14896216828496,35.41046868159338
9,37.4131005335,37.464650756000005,36.190880944757545,36.36450836052941,35.155269262655345,35.359917571267175
10,37.408681943000005,37.470542210000005,36.180473877858695,36.35861690652941,35.152951658936075,35.35626452477027
11,37.4131005335,37.485270845,36.192329580673075,36.33435797829412,35.19108721381308,35.34915023466393
12,37.4131005335,37.4661236195,36.18737337112069,36.35653756982353,35.1554995539057,35.351870762421754
13,37.41162767,37.461705029,36.18129884014423,36.37334554152941,35.10955894896552,35.32984326006993
14,37.3748060825,37.427829168500004,36.1637250239763,36.35567117952941,35.11439380514706,35.38893740810549
15,37.3954261715,37.4366663495,36.141037424000004,36.36242902382353,35.07279613677834,35.37929622247731
16,37.388061854,37.4248834415,36.14279244525862,36.35740396011765,35.09430896074074,35.40643149397838
17,37.383643263500005,37.371860355500004,36.17070474584041,36.32794669011765,35.12085991685625,35.25359087080824
18,37.3306201775,37.3541859935,36.08995901834333,36.22120740588235,35.16549467559456,35.18951776824317
19,37.302635771,37.1833338275,36.0220153704486,35.906187894941176,35.32754059934966,35.09454206753947
20,37.2510855485,36.283414229,35.928742624536085,35.16888975464706,35.37782306187657,35.142920520107445
21,37.034574614,37.125892151,35.53908944126923,35.91467851982353,35.0940818732294,35.43213814225166
22,,,,,,
23,37.308527225,36.720854688500005,,36.00149082729412,35.08480239857868,35.824358554734076
24,37.326201587,37.181860964,,36.283587507058826,35.11793409389105,35.460071737010146
25,37.270232774,37.3276744505,36.020824906769235,36.27128476488235,35.15526152463917,35.44330925375
26,37.326201587,37.3924804445,36.15793275076033,36.293291078352944,35.03808346214286,35.28135461836216
27,37.337984495,37.4042633525,36.12944408515837,36.268685594000004,35.157178196435986,35.38835771689003
28,37.360077447500004,37.41162767,36.09521799990847,36.271631321,35.161531024223436,35.44566047084025
29,37.337984495,37.4042633525,36.095375285102975,36.24650600247059,35.22743820188679,35.381094525310495
30,37.3482945395,37.4101548065,36.103451350207145,36.26071480329412,35.23394378652651,35.37796502719749
31,37.3512402665,37.414573397,36.11590684168719,36.23749554341177,35.2140344384714,35.38843753063448
32,37.358604584,37.4189919875,36.114595396681416,36.25880874464706,35.17216483285107,35.341666916786885
33,37.385116127,37.426356305,36.106514198716816,36.25291729064706,35.21980496306898,35.3408960644335
34,37.391007581000004,37.420464851000006,36.121838848667096,36.26677953535294,35.16567199263559,35.391571065551204
35,37.393953308,37.4307748955,36.130106083097346,36.23957488011765,35.17049574840813,35.3386975372449
36,37.385116127,37.421937714500004,36.11576394017391,36.239228324,35.1416394343747,35.32683591411765
37,37.393953308,37.4366663495,36.11801806170435,36.238881767882354,35.152262057976245,35.31627915799012
38,37.337984495,37.417519124,36.0939870025188,36.21115727847059,35.12196769835411,35.38919267818182
