frame,left_eye_temp,right_eye_temp,forehead_temp,nose_temp,left_cheek_temp,right_cheek_temp
0,36.8651953115,36.9476756675,35.806876989403456,33.369397113764705,34.79394617833164,34.18439803878729
1,36.8475209495,36.937365623000005,35.76902029732673,33.27842613288235,34.7624727322172,34.30604442742115
2,36.8475209495,36.946202804,35.781816178965016,33.25711293164706,34.76675414052659,34.33357308992188
3,36.8593038575,36.946202804,35.764592216428575,33.25832587805883,34.765799148130746,34.35276439884837
4,36.8622495845,36.9417842135,35.755771400578574,33.23372039370588,34.77033223352912,34.28961642263158
5,36.8740324925,36.962404302500005,35.75751482038961,33.281718416000004,34.77184441343465,34.35077595930898
6,36.8151179525,36.9535671215,35.739361111538464,33.30147211470588,34.79441966170258,34.3367463846016
7,36.8327923145,36.962404302500005,35.73282565244534,33.532278489058825,34.78529554161491,34.35712582456842
8,36.8475209495,36.943257077,35.68986075061063,33.17619207817647,34.788462271505594,34.320816176545456
9,36.7326375965,36.887288264,35.61991313772676,33.19802511358824,34.75662582776459,34.23383330990291
10,36.8475209495,36.875505356000005,35.590636516625004,33.37355578717647,34.74990243543645,34.06057560693491
11,36.8799239465,36.857830994000004,35.578026787965115,33.15453232082353,34.74073837489362,34.17771774616644
12,36.8710867655,36.890233991,35.55271569146694,33.05455088088235,34.730333806737164,34.15176094282609
13,36.860776721,36.899071172,35.605242413,33.166141950764704,34.73436046314242,34.13776515714286
14,36.807753635,36.904962626,35.589027276875,33.401800110764704,34.66701929365783,34.15118979300109
15,36.834265178,36.9064354895,35.64225718309775,33.24273085276471,34.693847956382356,34.24232833641133
16,36.8504666765,36.931474169,35.649758815616686,33.21587275364706,34.68098990747394,34.31578924715285
17,36.838683768500005,36.922636988,35.752763836288665,33.29731344129412,34.71994960212556,34.31831647096057
18,36.8445752225,36.922636988,35.74463118653061,33.48341407647059,34.72607282897939,34.29549814530333
19,36.8475209495,36.928528442,35.74409583711599,33.39694832511765,34.73545208652559,34.327152659130434
20,36.848993813,36.9388384865,35.722295317314284,33.29610049488235,34.73236708147557,34.31551068896488
21,36.8622495845,36.963877166,35.77918505386139,33.209288187411765,34.743428538366935,34.342573993649026
22,36.8534124035,36.9712414835,35.75628739941177,33.13945712970588,34.72499954940344,34.30428519589512
23,36.8445752225,36.9682957565,35.7633534581448,33.11935687488236,34.735063663816796,34.3112500025
24,36.8357380415,36.955039985,35.76580445622853,33.013483980941174,34.734086088436726,34.293711742250686
25,36.819536543,36.956512848500005,35.75055700075243,33.03947568976471,34.75159707311543,34.32227186068768
26,36.848993813,36.949148531,35.717412557420815,33.03514373829412,34.743188525619836,34.30526477067416
27,36.848993813,36.949148531,35.75176880405527,33.084874541176475,34.74382748584259,34.317154969009174
28,36.838683768500005,36.946202804,35.71854552934389,33.02786605982353,34.73771093409091,34.306886991754716
29,36.8357380415,36.955039985,35.75271487647059,33.168567843588235,34.724210196396946,34.2938054018936
30,36.840156632,36.949148531,35.739506004499496,33.031158342941175,34.70075696286595,34.27885260574145
31,36.851939540000004,36.9535671215,35.73999909572816,33.13876401747059,34.71377138449551,34.26908962016394
32,36.843102359,36.956512848500005,35.73699837317227,33.05333793447059,34.690593850221326,34.30639829851084
33,36.8357380415,36.962404302500005,35.760965334770674,33.07794341882353,34.7165856744,34.300454282580645
34,36.857830994000004,36.931474169,35.75927204403846,33.06616051082353,34.710903997104076,34.266010057744076
35,36.8563581305,36.928528442,35.76285004730082,33.00204762905882,34.71249081585758,34.27425194287558
