frame,left_eye_temp,right_eye_temp,forehead_temp,nose_temp,left_cheek_temp,right_cheek_temp
0,37.2952714535,36.7886064095,35.35053988538462,33.64525578341176,33.83648576634325,33.89284884315733
1,37.314418679,36.9182183975,35.376889758242186,33.7065962162353,33.78598834834291,33.901683071895356
2,37.314418679,36.937365623000005,35.373236366357425,33.68372351247059,33.870755904500655,33.8808996911039
3,37.329147314000004,36.931474169,35.378457514645675,33.762045195058825,33.820025606047125,33.926345540283464
4,37.329147314000004,36.8946525815,35.37013564697443,33.71612650947059,33.82348094928785,33.945801112718605
5,37.310000088500004,36.893179718,35.376029713376624,33.65721196947059,33.86589721297485,33.904316218199675
6,37.32325586,36.8769782195,35.3668021775,33.69186758123529,33.86927726663808,33.87712368610114
7,37.32325586,36.860776721,35.37289527352679,33.79115590894118,33.831412932053496,33.9721968248
8,37.3158915425,36.884342537,35.37186514578125,33.753034736000004,33.79602196365309,33.9724837660829
9,37.32325586,36.9064354895,35.37088893750585,33.69204085929412,33.83675298505837,33.933494259601076
10,37.3247287235,36.9064354895,35.364996815714285,33.69966509388235,33.85167066458498,33.969965176320166
11,37.3129458155,36.902016899,35.37675114964286,33.690827912882355,33.86392689482167,33.9338585215534
12,37.3129458155,36.8946525815,35.36162878620408,33.65773180364706,33.83097882759438,33.93574955355712
13,37.299690044,36.8946525815,35.36474150453061,33.632086650941176,33.82755309076087,33.90995466876222
14,37.299690044,36.899071172,35.3622856538189,33.67488633147059,33.8227071331283,33.93269620545742
15,37.3247287235,36.9241098515,35.37713611957051,33.67072765805882,33.860818504025104,33.90844820667023
16,37.32325586,36.934419896,35.36616016007692,33.74506394529412,33.827476285607474,33.889001900475435
17,37.32325586,36.957985712,35.36588704384778,33.675579443705885,33.85924514817446,33.89163379469738
18,37.32325586,36.949148531,35.36297361633908,33.701051318352945,33.863855335983864,33.88379289677178
19,37.32325586,36.952094258,35.366503706401986,33.701744430588235,33.86240360189214,33.88490101025724
20,37.32325586,36.9300013055,35.3596473988933,33.71733945588235,33.84355781533544,33.88937093626583
21,37.32325586,36.946202804,35.357644596913154,33.76377797564706,33.84344477117727,33.872372028224
22,37.32325586,36.9388384865,35.34760780858215,33.763604697588235,33.84861954643338,33.88587151987369
23,37.32325586,36.9388384865,35.35936963803474,33.795314582352944,33.843518677825294,33.87982693527633
24,37.32325586,36.937365623000005,35.353185804183624,33.78699723552941,33.81973770230911,33.880862367174934
25,37.32325586,36.937365623000005,35.36169405785112,33.76499092205882,33.83841174565511,33.879676138544305
26,37.32325586,36.934419896,35.36202481255769,33.78370495241177,33.79923753516216,33.88441540575053
27,37.32325586,36.9358927595,35.35841940351861,33.7802393912353,33.78843692147006,33.90436867251893
28,37.2864342725,36.9241098515,35.34443542345193,33.74471738917647,33.80212324671378,33.87185580620123
29,37.32325586,36.9417842135,35.35223053376453,33.76724353682353,33.79366017652485,33.870473940367646
30,37.32325586,36.9417842135,35.351516497971154,33.76239175117647,33.793273287951806,33.87464347199372
31,37.32325586,36.946202804,35.34891066254808,33.77209532247059,33.78835707641738,33.864796451639606
32,37.32325586,36.943257077,35.33419618969712,33.81350877852941,33.738850722591096,33.855489811359675
33,37.32325586,36.94031135,35.331477486237766,33.81541483717647,33.754836387540834,33.854277529053284
34,37.32325586,36.9535671215,35.33886969887981,33.79618097264706,33.78489338557029,33.87620452771097
35,37.32325586,36.952094258,35.33418086317125,33.815241559117645,33.78028934527027,33.8708576404717
36,37.320310133,36.9329470325,35.31098442742308,33.785957567176474,33.80054042857143,33.860215421381476
37,37.32325586,36.9329470325,35.32705846658173,33.87017070376471,33.747190964631294,33.881043446873434
38,37.32325586,36.9329470325,35.32568611927982,33.84331260464706,33.77627736972123,33.86947403710769
39,37.26434132,36.9329470325,35.32836275482382,33.84452555105882,33.77115621727679,33.87868438435551
40,37.26434132,36.9329470325,35.326389190828785,33.85041700505882,33.77068809459893,33.86794877365625
41,37.26434132,36.9388384865,35.33590980973077,33.88108722147059,33.76069655462268,33.88240188435325
42,37.26434132,36.934419896,35.33013758126454,33.831702974705884,33.80324502491877,33.871904384498706
43,37.2834885455,36.9388384865,35.333672190182696,33.81541483717647,33.8222721280087,33.878933395522694
44,37.290852863,36.9388384865,35.3356465474564,33.84400571688236,33.75521085864865,33.85517828878981
45,37.290852863,36.946202804,35.34580600143764,33.83655476035294,33.80150197540323,33.87525744271186
46,37.290852863,36.946202804,35.33859564782241,33.81125616376471,33.77631500370371,33.870594885509554
47,37.299690044,36.9476756675,35.345363139027484,33.81628122747059,33.772306242621184,33.87420062452891
48,37.290852863,36.9417842135,35.32892187205074,33.83083658441176,33.76517470181818,33.875301534597405
49,37.29379859,36.950621394500004,35.334976435595706,33.833262477235294,33.81634113458168,33.88372298750792
50,37.29379859,36.946202804,35.33651713537791,33.83898065317647,33.7777950123506,33.86842009392283
51,37.2834885455,36.595661291,35.32822465008822,33.733454315352944,33.92154860872728,33.83368248199343
52,37.287907136,36.896125445,35.32894751452606,33.72981547611765,33.876716011088405,33.83564178993549
53,37.270232774,36.931474169,35.31494625939985,33.74107854994118,33.90028291243197,33.84453736127796
54,37.2834885455,36.928528442,35.31925512246154,33.801206036352944,33.85222710494024,33.84279694147567
55,37.249612685,36.922636988,35.30977666165039,33.796527528764706,33.847065136205536,33.84393773572495
56,37.2775970915,36.913799807000004,35.316905657704424,33.78613084523529,33.851405898199474,33.834907981072554
57,37.242248367500004,36.9152726705,35.319481716846155,33.836034926176474,33.87373955812527,33.86402719280369
58,37.246666958,36.890233991,35.32007586840116,33.856135181,33.828857696518256,33.85211800144867
59,37.249612685,36.884342537,35.31047388477801,33.81541483717647,33.820035585411766,33.852741848665296
60,37.2717056375,36.884342537,35.30085546680761,33.82425201817647,33.84262101239474,33.832966610342325
61,37.276124228,36.890233991,35.32456732971272,33.85353601011765,33.84336200732766,33.898699748356854
