frame,left_eye_temp,right_eye_temp,forehead_temp,nose_temp,left_cheek_temp,right_cheek_temp
0,37.370387492,36.96976862,36.615270323423005,33.30147211470588,35.367881377024965,35.49469331133106
1,37.3571317205,37.299690044,36.60693981413374,32.253313136882355,35.470996009123525,35.513992565397224
2,37.365968901500004,37.302635771,36.604390619295195,32.43490854252941,35.41811981599382,35.466630579541615
3,37.376278946,37.3070543615,36.60825039796842,32.496768809529414,35.41654444057143,35.51460106241758
4,37.3806975365,37.290852863,36.607566937625,32.28502302164706,35.38527437221248,35.57557891385943
5,37.3865889905,37.282015682,36.60523674944361,32.485505735705885,35.39543086498423,35.54008023632353
6,37.3821704,37.2834885455,36.62988282354592,32.165980995235294,35.42249623614679,35.53878913492362
7,37.3821704,37.2834885455,36.616793680347826,32.577862941058825,35.412666028259494,35.654650686938304
8,37.3821704,37.299690044,36.61131604471591,32.72982779864706,35.42541440561577,35.6652029493007
9,37.385116127,37.2363569135,36.6201353374026,33.2735743472353,35.35073036509434,35.73061956935154
10,37.355658857,37.3011629075,36.62058987767273,33.33318199947059,35.37697789640475,35.73844804676504
11,37.337984495,37.296744317,36.620551225869306,32.90951714564706,35.37591134143245,35.66936968393684
12,37.337984495,37.310000088500004,36.62349394792727,33.22037798317647,35.39905575356522,35.64851604793617
13,37.3571317205,37.2893799995,36.62294233003266,33.13581829047059,35.39723127026097,35.63717158605791
14,37.365968901500004,37.279069955000004,36.597445286403165,33.18537581529412,35.384249838130316,35.69733264750557
15,37.360077447500004,37.254031275500004,36.608315893724495,33.35068308341177,35.35322987687855,35.741958289700996
16,37.360077447500004,37.2510855485,36.61721283517787,33.272707956941176,35.3952584319797,35.72713519878652
17,37.355658857,37.2893799995,36.6135350276199,33.31550763747059,35.397588253524454,35.69639791881188
18,37.349767403,37.276124228,36.5945300006679,33.274614015588234,35.41245209,35.6478258085065
19,37.3482945395,37.287907136,36.59540442797774,33.15435904276471,35.445072127378964,35.63871182
20,37.3453488125,37.2775970915,36.59653440121884,33.21465980723529,35.40521604986487,35.66634360760046
21,37.343875949,37.2775970915,36.583888505773196,33.00949858558824,35.44194776296615,35.57113342805903
22,37.35271313,37.2451940945,36.587937615051544,32.92476561482353,35.450101823501576,35.59878093692135
23,37.3512402665,37.252558412,36.583136528335785,32.687028118117645,35.426959640284814,35.56373067355895
24,37.3424030855,37.2746513645,36.563979696530616,32.34619017641177,35.439708292930945,35.51831176437697
25,37.337984495,37.226046869,36.57794584244997,32.43057659105882,35.44290790557845,35.50545096536264
26,37.364496038,37.223101142000004,36.59738156698605,32.53662276305882,35.430129329863014,35.55635282325792
27,37.355658857,36.70465319,36.583181544354844,32.66762097552942,35.48263136297125,35.579935956685205
28,37.326201587,35.1389992895,36.553158658571434,32.1011750012353,35.47197159100154,35.35690180364239
29,37.314418679,34.854736634,,32.34185822494118,35.2299551625089,34.20316466407108
30,37.0272102965,36.357057404,,34.69757343464706,35.033789567288544,33.83893960107438
31,36.1641122855,36.778296365,,36.17528872029412,35.22611415316231,35.10137557915493
32,,,,,,
33,37.248139821500004,35.5072151645,,31.80920147211765,35.52637756633694,33.14032352
34,37.2186825515,34.6176056105,,33.18537581529412,35.52040331529412,33.08356439
35,37.223101142000004,34.4114047205,,33.21240719247059,35.705634761945205,32.24979823793673
36,37.234884050000005,36.2554298225,,30.579100532529413,35.80717845823455,30.92682008857143
37,37.2687599105,36.651630104,,33.18554909335294,35.67732212474186,33.24115083528541
38,37.261395593,36.6324828785,,32.445131948000004,35.31027007083366,35.29908009417323
39,37.2510855485,36.2024067365,36.61994304435993,32.72081733958824,35.26140274988101,35.44239540542056
40,37.32325586,36.766513457,36.62695844873787,33.51009889752941,35.26045675007452,35.50496180923077
41,37.367441765,37.1774423735,36.60627702415094,32.726188959411765,35.34864732273973,35.59834186536545
42,37.355658857,37.2363569135,36.58496755936975,33.12594144111765,35.30093642087379,35.718185326785715
43,37.337984495,37.2952714535,36.63488706570924,32.707301651,35.40664894663751,35.82363718544361
44,37.3865889905,37.3129458155,36.62217802928571,33.14881414488235,35.34414196378886,35.855243631468845
45,37.3630231745,37.32325586,36.61955441,33.15435904276471,35.34074328955342,35.85158478322339
46,37.371860355500004,37.2864342725,36.611712775625,33.329889716352945,35.32905810488761,35.83469076277905
47,37.371860355500004,37.3129458155,36.614985805625004,33.392443095588234,35.33019307600228,35.88946059394398
48,37.3689146285,37.3217829965,36.624986730625004,33.29280821176471,35.33029558293142,35.83835652503331
