frame,left_eye_temp,right_eye_temp,forehead_temp,nose_temp,left_cheek_temp,right_cheek_temp
0,36.657521558,36.29225141,36.10929959116129,33.36229271335294,34.18499454016327,34.056854002257055
1,36.684033101000004,36.354111677,36.04216964590237,33.558096919823534,33.96581890710754,33.907371514557376
2,36.7120175075,36.3703131755,36.06214404169388,33.79392835788235,33.94208141689761,33.871157914347826
3,36.672250193,36.395351855,36.05421836654586,33.43021771241177,33.95048902701107,33.802239755244635
4,36.686978828,36.3968247185,36.039940700413645,33.74229149635294,33.95427440157895,33.76672370264706
5,36.742947641,36.3349644515,36.063866929746155,33.56728065694118,33.944592237118975,33.85435949779528
6,36.737056187,36.354111677,36.04918343362754,33.549433016882354,33.95034328157303,33.87197161076923
7,36.745893368000004,36.3703131755,36.05097988910839,33.54856662658824,33.92871462125,33.93679413328245
8,36.7296918695,36.3261272705,36.05642802492788,33.60488199570588,33.93321193412137,33.931283661427315
9,36.710544644,36.3438016325,36.055137286081205,33.5386897772353,33.94936436626186,33.88659161674868
10,36.7473662315,36.318762953000004,36.06143413003497,33.614412288941175,33.93632360884094,33.87231578781915
11,36.728219006,36.386514674,36.057468728304194,33.46573971447059,33.93267384002527,33.916860351150895
12,36.748839095,36.3762046295,36.04043349257085,33.53331815741176,33.93044558974487,33.830532426117024
13,36.745893368000004,36.312871499,36.054636298496504,33.996143852529414,33.95584005891626,33.83059245488
14,36.770932047500004,36.3172900895,36.05810184334232,33.77209532247059,33.92521602596958,33.84165948856887
15,36.801862181000004,36.466049303,36.06717746389611,34.014511326764705,33.93419125976834,33.94399298903454
16,36.9741872105,36.3909332645,36.05375974117143,33.70139787447059,33.89254737832588,33.8907170640395
17,37.2039539165,36.411553353500004,36.058450193551025,33.82563824264706,33.92854002490446,33.88669515724077
18,37.0095359345,36.4262819885,36.048993019298706,33.78924985029412,33.930276749204545,33.817406407719
19,37.214263961,36.398297582,36.05826695852273,33.800859480235296,33.9289069512283,33.87700790524872
20,36.7827149555,36.3997704455,36.056286403437504,33.789423128352944,33.92369685509678,33.80734446137931
